group_id,分类,分类中文,日文母故事名,网站显示文本,子剧情数量,出现次数,source_sha256,children_sha256
memoria:d6241780a7d696b5,メモリア,记忆结晶资料,No.379 かつての羽、再び,"No.379 曾经的羽翼,再次",1,1,d6241780a7d696b5ee3ed4677c49b45742f98a5bb731e7a7cf684f4392cc0849,506b4530c24a45042211be813f3e3ec2212a26cd76327f6b91d62bc0118e6472
memoria:1fc3d90e4895499c,メモリア,记忆结晶资料,No.38 空虚だった世界,No.38 一度空虚的世界,1,1,1fc3d90e4895499c2921c21c9602ac94d92bf76f806bb3009681a8beb3dbd1e5,e29a8c1b008b90b53c78c2f7326ecaaaf51251630ed9de16791b04906dbddd5e
memoria:7b5aadf1132ce1e4,メモリア,记忆结晶资料,No.380 歓喜は刹那か永遠か…？,No.380 歓喜は刹那か永遠か…？,1,1,7b5aadf1132ce1e4440d4cbc3abb06659b70bd1032a5b6cdb69a8eb218da5093,5385dfc36a830535786de1b2e14bf43e478e7627409cc5a9bacf8146f6fdf763
memoria:f266db6dbdcd7645,メモリア,记忆结晶资料,No.381 一瞬の連携プレー,No.381 一瞬间的配合,1,1,f266db6dbdcd7645d3242f32d58c8562579c2fa8f904c8a02f2cdac81cfaab56,5c2ecfd46dc9cc6f655305704c79a28328540ad5b003c96aa6c79baab846f234
memoria:6a3509d12d7cce6f,メモリア,记忆结晶资料,No.382 ひと夏の勇気,No.382 一个夏天的勇气,1,1,6a3509d12d7cce6fa4e8a60d443473b832323f3def418fab203a640e7bd03b17,30395ef72068473eee6564e1dcc78c401a6e4f63b09d671ce42dc094635df63b
memoria:f7aba118dbedbba3,メモリア,记忆结晶资料,No.383 二人のいる夏,No.383 两人共度的夏天,1,1,f7aba118dbedbba369bfa36a401565f0c60342b70e1d50427627daf3154a44df,f8634e8571cdf943608287db53d5307cf35d1cd885ae40b9993f024fe59f1a56
memoria:c3f4f070719b7c10,メモリア,记忆结晶资料,No.384 青とピンク,No.384 蓝色与粉色,1,1,c3f4f070719b7c10146c9e8cddc337df807c89e770e9d1a181fe5d91ac68a423,89dee7633e8097ffac02a9c0a6977a5071300e490eb2efde5782d85ecd74f466
memoria:7275e3ba26961848,メモリア,记忆结晶资料,No.385 今は、このまま,"No.385 现在,这样就好",1,1,7275e3ba26961848a0c6bcb3aff95b0a34d0f3d6e82ee6d9813d6092ff44108e,9cd2eb6f2e79c5ec4c9f5a3efbde0f07ebfa479d7e1d37ba1f9d6b04f1c8c5e7
memoria:e05fe89cbc7a4928,メモリア,记忆结晶资料,No.386 未来あるトモヘ,No.386 致有前途的朋友,1,1,e05fe89cbc7a4928074523182b2fe3ea76c05c1bc451055c3e1475f0c985405e,ea8aa89e506bc5f424103685a88b76d70827beb99a532594bc5a91dd0bf65ae2
memoria:6415d16083375c02,メモリア,记忆结晶资料,No.387 小さなつわもの,No.387 小小的勇士,1,1,6415d16083375c021b2db83b820665b1ef704fcd308de37cc04939c6e4f37e54,9aa2957658b9507e22ccf4067a69c72545d8aa69591eb9bbbe21ff4f36c606f7
memoria:85378afa164f6975,メモリア,记忆结晶资料,No.388 君だけが真実,No.388 唯有你才是真实,1,1,85378afa164f69759556c270a82371bcfc68e3406c5196b94710be8e8bfcaf53,c8de047fcfbc0dc3ea4c097ea15c79b20572cc5ca8dcaa21c4235fb3b72c5ec5
memoria:fc36db11011c6a7a,メモリア,记忆结晶资料,No.389 みゃーこ先輩レーダー,No.389 嘟ー前辈雷达,1,1,fc36db11011c6a7aaf58e6c8a2ae1d6d986836d502bc72e486d7eb50a3dc24b6,1859289b5603f436c12076470990d33f4f1ae171a61a50f827238bd98bca6fe1
memoria:e1fbd882c324f557,メモリア,记忆结晶资料,No.39 ブーケに込められた想い,No.39 花束承载的念想,1,1,e1fbd882c324f5579a268270bec5de11dab730732fe45d818a8c504c0050647c,85994c75a404af28c4f61bf93a9fd4dd8582a0297cbf4db56c53657ed8b61191
memoria:c7a60d932bc14185,メモリア,记忆结晶资料,No.390 クローゼットのカジノセット,No.390 私房的赌场套装,1,1,c7a60d932bc1418587f7ad62ca0bb075fd517249ce990ebad4cf23da22a0fb91,069805d229ff06e73d445a4c143789d93fe3c9916b2a4023a27f1f5cc31a7fb0
memoria:d74b50d558039f4c,メモリア,记忆结晶资料,No.391 ピンチはチャンス,No.391 危即是机,1,1,d74b50d558039f4c7a9071421f17ef9dc842384f155c9360cc2c2670d0438935,8ccef21ed18807244b2c5599c0b327f83e7b1b1c271c2e5f696a53fdd330cca1
